
> strategy_lab@1.0.0 start
> cross-env NODE_ENV=development node server.js

api/index.js router initialized.
Database connection and migrations successful.
Server is running on http://localhost:8080
[2025-11-20T03:16:38.209Z] GET /
[2025-11-20T03:16:38.591Z] GET /
[2025-11-20T03:16:38.649Z] GET /css/main.css?v=1.0.2
[2025-11-20T03:16:38.664Z] GET /css/themes.css?v=1.0.1
[2025-11-20T03:16:38.670Z] GET /js/app-main.js
[2025-11-20T03:16:38.674Z] GET /images/strategy-lab-logo.svg
[2025-11-20T03:16:38.695Z] GET /css/base.css
[2025-11-20T03:16:38.699Z] GET /css/navigation.css
[2025-11-20T03:16:38.702Z] GET /css/forms.css
[2025-11-20T03:16:38.705Z] GET /css/modals.css
[2025-11-20T03:16:38.710Z] GET /css/components.css
[2025-11-20T03:16:38.713Z] GET /css/settings.css
[2025-11-20T03:16:38.717Z] GET /css/strategy-lab.css
[2025-11-20T03:16:38.720Z] GET /css/themes.css
[2025-11-20T03:16:38.773Z] GET /js/modules/navigation/index.js
[2025-11-20T03:16:38.779Z] GET /js/modules/settings/appearance.handlers.js
[2025-11-20T03:16:38.784Z] GET /js/modules/strategy-lab/paper-trades/new-render.js
[2025-11-20T03:16:38.787Z] GET /js/modules/transactions/edit-trade.handlers.js
[2025-11-20T03:16:38.792Z] GET /js/modules/user-selector/index.js
[2025-11-20T03:16:38.794Z] GET /js/utils/loadHtmlPartial.js
[2025-11-20T03:16:38.860Z] GET /js/modules/strategy-lab/watched-list/api.js
[2025-11-20T03:16:38.863Z] GET /js/modules/transactions/api.js
[2025-11-20T03:16:38.870Z] GET /js/services/apiFetch.js
[2025-11-20T03:16:38.885Z] GET /_source-form-modal.html
[2025-11-20T03:16:39.020Z] GET /images/contacts/default.png
[2025-11-20T03:16:39.023Z] GET /_source-detail-modal.html
[2025-11-20T03:16:39.055Z] GET /_add-strategy-modal.html
[2025-11-20T03:16:39.062Z] GET /favicon.ico
[2025-11-20T03:16:39.083Z] GET /_sell-trade-modal.html
[2025-11-20T03:16:39.089Z] GET /_edit-trade-modal.html
[2025-11-20T03:16:39.097Z] GET /_paper-trade-details-modal.html
[2025-11-20T03:16:39.105Z] GET /_add-idea-modal.html
[2025-11-20T03:16:39.114Z] GET /_edit-strategy-modal.html
[2025-11-20T03:16:39.133Z] GET /_dashboard.html
[2025-11-20T03:16:39.176Z] GET /js/modules/dashboard/index.js
[2025-11-20T03:17:14.452Z] GET /
[2025-11-20T03:17:14.512Z] GET /css/main.css?v=1.0.2
[2025-11-20T03:17:14.770Z] GET /css/themes.css?v=1.0.1
[2025-11-20T03:17:14.773Z] GET /images/strategy-lab-logo.svg
[2025-11-20T03:17:14.776Z] GET /js/app-main.js
[2025-11-20T03:17:14.779Z] GET /css/base.css
[2025-11-20T03:17:14.781Z] GET /css/navigation.css
[2025-11-20T03:17:14.783Z] GET /css/components.css
[2025-11-20T03:17:14.785Z] GET /css/settings.css
[2025-11-20T03:17:14.787Z] GET /css/forms.css
